id,nome,microrregiao,regiao-imediata
1300029,Alvarães,13005,130005
1300060,Amaturá,13003,130006
1300086,Anamã,13006,130004
1300102,Anori,13006,130003
1300144,Apuí,13013,130009
1300201,Atalaia do Norte,13003,130006
1300300,Autazes,13007,130001
1300409,Barcelos,13001,130002
1300508,Barreirinha,13010,130010
1300607,Benjamin Constant,13003,130006
1300631,Beruri,13006,130003
1300680,Boa Vista do Ramos,13010,130010
1300706,Boca do Acre,13011,130008
1300805,Borba,13013,130001
1300839,Caapiranga,13006,130004
1300904,Canutama,13012,130008
1301001,Carauari,13004,130005
1301100,Careiro,13007,130001
1301159,Careiro da Várzea,13007,130001
1301209,Coari,13006,130003
1301308,Codajás,13006,130003
1301407,Eirunepé,13004,130007
1301506,Envira,13004,130007
1301605,Fonte Boa,13003,130005
1301654,Guajará,13004,130007
1301704,Humaitá,13013,130009
1301803,Ipixuna,13004,130007
1301852,Iranduba,13007,130001
1301902,Itacoatiara,13009,130011
1301951,Itamarati,13004,130007
1302009,Itapiranga,13009,130011
1302108,Japurá,13002,130005
1302207,Juruá,13004,130005
1302306,Jutaí,13003,130005
1302405,Lábrea,13012,130008
1302504,Manacapuru,13007,130004
1302553,Manaquiri,13007,130001
1302603,Manaus,13007,130001
1302702,Manicoré,13013,130009
1302801,Maraã,13002,130005
1302900,Maués,13010,130010
1303007,Nhamundá,13010,130010
1303106,Nova Olinda do Norte,13009,130001
1303205,Novo Airão,13001,130004
1303304,Novo Aripuanã,13013,130009
1303403,Parintins,13010,130010
1303502,Pauini,13011,130008
1303536,Presidente Figueiredo,13008,130001
1303569,Rio Preto da Eva,13008,130001
1303601,Santa Isabel do Rio Negro,13001,130002
1303700,Santo Antônio do Içá,13003,130006
1303809,São Gabriel da Cachoeira,13001,130002
1303908,São Paulo de Olivença,13003,130006
1303957,São Sebastião do Uatumã,13010,130011
1304005,Silves,13009,130011
1304062,Tabatinga,13003,130006
1304104,Tapauá,13012,130008
1304203,Tefé,13005,130005
1304237,Tonantins,13003,130006
1304260,Uarini,13005,130005
1304302,Urucará,13010,130011
1304401,Urucurituba,13009,130011